epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1910.83,0.35383,0.67343,1.04976,0.92356,0.78331,0.90058,0.8451,0.36649,0.9404,0.78655,0.000742625,0.000742625,0.000742625
43,1955.51,0.31686,0.6345,1.02792,0.87235,0.79159,0.91216,0.85694,0.34192,0.88463,0.74214,0.00073025,0.00073025,0.00073025
44,2001.29,0.34468,0.68451,1.01837,0.71849,0.73182,0.84591,0.77331,0.39976,1.13747,0.78323,0.000717875,0.000717875,0.000717875
45,2046.95,0.35076,0.65454,1.02606,0.61252,0.6826,0.78437,0.70406,0.38935,1.29154,0.7648,0.0007055,0.0007055,0.0007055
46,2092.01,0.3315,0.64197,1.04475,0.46465,0.693,0.72902,0.71985,0.27446,1.8738,0.61589,0.000693125,0.000693125,0.000693125
47,2137.23,0.34648,0.62307,1.05274,0.81737,0.77676,0.88364,0.86288,0.28524,0.91266,0.62032,0.00068075,0.00068075,0.00068075
48,2182.84,0.30397,0.59902,1.02034,0.72473,0.775,0.84871,0.792,0.36752,1.15092,0.75483,0.000668375,0.000668375,0.000668375
49,2228.34,0.31462,0.64605,1.019,0.6283,0.825,0.85041,0.81415,0.38008,1.1042,0.76021,0.000656,0.000656,0.000656
50,2274.12,0.30786,0.63036,1.01217,0.81869,0.82622,0.88633,0.88327,0.22696,0.75738,0.5724,0.000643625,0.000643625,0.000643625
51,2319.97,0.28503,0.5965,0.99266,0.85355,0.86743,0.90973,0.85663,0.30872,0.86421,0.6453,0.00063125,0.00063125,0.00063125
52,2364.82,0.33252,0.64342,1.04773,0.80558,0.86676,0.89415,0.8715,0.27861,1.00827,0.63241,0.000618875,0.000618875,0.000618875
53,2409.55,0.29396,0.60988,0.99481,0.79122,0.82803,0.87941,0.85251,0.31469,1.24929,0.68111,0.0006065,0.0006065,0.0006065
54,2456.39,0.3072,0.58375,1.0214,0.75521,0.9158,0.88597,0.84219,0.41959,1.00157,0.76719,0.000594125,0.000594125,0.000594125
55,2499.86,0.29908,0.59761,1.00914,0.83772,0.825,0.89588,0.88044,0.27879,0.82982,0.62259,0.00058175,0.00058175,0.00058175
56,2543.55,0.2765,0.56358,1.00307,0.8558,0.75,0.86913,0.85108,0.30556,1.30515,0.62989,0.000569375,0.000569375,0.000569375
57,2586.93,0.27898,0.54217,0.99406,0.74128,0.78394,0.84585,0.83134,0.28469,1.34952,0.63296,0.000557,0.000557,0.000557
58,2630.04,0.26292,0.53799,0.99012,0.71242,0.90329,0.90142,0.88678,0.25622,0.83882,0.60683,0.000544625,0.000544625,0.000544625
59,2673.31,0.27016,0.53662,0.986,0.77627,0.86573,0.88706,0.86657,0.24603,1.07521,0.59604,0.00053225,0.00053225,0.00053225
60,2716.59,0.26442,0.50593,0.99939,0.89503,0.64992,0.7942,0.77769,0.27813,1.61697,0.64528,0.000519875,0.000519875,0.000519875
61,2759.06,0.25664,0.47409,0.98704,0.87225,0.75968,0.90147,0.87011,0.31171,1.05777,0.67802,0.0005075,0.0005075,0.0005075
62,2801.97,0.22909,0.4746,0.96806,0.93112,0.78929,0.90945,0.89948,0.31171,0.87777,0.67414,0.000495125,0.000495125,0.000495125
63,2845,0.26204,0.4653,0.9815,0.87336,0.81086,0.84981,0.84249,0.27088,1.10278,0.64138,0.00048275,0.00048275,0.00048275
64,2888.21,0.22982,0.43533,0.95591,0.70845,0.475,0.46742,0.46068,0.30343,2.48943,0.66534,0.000470375,0.000470375,0.000470375
65,2931.56,0.26951,0.48601,0.98798,0.5845,0.675,0.79096,0.78451,0.21224,1.78702,0.56723,0.000458,0.000458,0.000458
66,2975.16,0.25141,0.44583,0.97607,0.8472,0.87087,0.91487,0.89638,0.23501,0.84287,0.58725,0.000445625,0.000445625,0.000445625
67,3018.76,0.25127,0.46166,0.97795,0.90634,0.88248,0.91184,0.9002,0.24088,0.83612,0.59234,0.00043325,0.00043325,0.00043325
68,3062.41,0.25008,0.47376,0.97505,0.82069,0.82407,0.87809,0.86833,0.23434,0.97428,0.59962,0.000420875,0.000420875,0.000420875
69,3105.95,0.24138,0.49081,0.96351,0.7603,0.879,0.92559,0.92034,0.22732,1.08728,0.59748,0.0004085,0.0004085,0.0004085
70,3149.58,0.2266,0.47585,0.97084,0.77299,0.88539,0.91985,0.91446,0.22294,1.09266,0.58492,0.000396125,0.000396125,0.000396125
71,3193.23,0.23348,0.48156,0.97357,0.88619,0.87214,0.94051,0.93024,0.24005,0.77049,0.59121,0.00038375,0.00038375,0.00038375
72,3237.16,0.25887,0.46354,0.97875,0.78722,0.9,0.92999,0.91942,0.25687,0.70609,0.60347,0.000371375,0.000371375,0.000371375
73,3280.43,0.24673,0.44537,0.98004,0.86901,0.83339,0.93779,0.93098,0.23446,0.69573,0.58233,0.000359,0.000359,0.000359
74,3323.83,0.2331,0.4275,0.96434,0.89381,0.82583,0.9464,0.9464,0.2188,0.69607,0.56184,0.000346625,0.000346625,0.000346625
75,3367.06,0.21407,0.39241,0.95489,0.79274,0.9285,0.95028,0.94195,0.22949,0.76088,0.58167,0.00033425,0.00033425,0.00033425
76,3410.16,0.23188,0.4615,0.96703,0.79488,0.89047,0.93327,0.91748,0.25067,0.94824,0.60884,0.000321875,0.000321875,0.000321875
77,3453.53,0.22901,0.42059,0.97342,0.76462,0.93324,0.93939,0.92285,0.26744,0.96403,0.62642,0.0003095,0.0003095,0.0003095
78,3497.9,0.22225,0.41666,0.93704,0.83753,0.84528,0.91605,0.89525,0.32218,0.99712,0.656,0.000297125,0.000297125,0.000297125
79,3541.38,0.21189,0.4126,0.96923,0.75689,0.91672,0.90564,0.88569,0.29523,1.15136,0.62253,0.00028475,0.00028475,0.00028475
80,3584.9,0.22436,0.41143,0.94754,0.86107,0.89553,0.91318,0.90522,0.23656,1.11522,0.57964,0.000272375,0.000272375,0.000272375
81,3628.46,0.16925,0.38623,0.9342,0.86556,0.87871,0.92402,0.91825,0.21884,1.07265,0.56997,0.00026,0.00026,0.00026
82,3672.81,0.22901,0.42293,0.98507,0.79398,0.883,0.91181,0.91181,0.22638,1.13359,0.59869,0.000247625,0.000247625,0.000247625
83,3717.87,0.22105,0.41973,0.9715,0.82157,0.89775,0.8949,0.8909,0.23679,1.07627,0.62213,0.00023525,0.00023525,0.00023525
84,3761.63,0.22116,0.4081,0.95639,0.8033,0.91029,0.93651,0.93062,0.2371,0.94153,0.60757,0.000222875,0.000222875,0.000222875
85,3805.23,0.18957,0.36488,0.93666,0.86751,0.85,0.9342,0.92701,0.22266,0.84994,0.58204,0.0002105,0.0002105,0.0002105
86,3847.51,0.20478,0.38496,0.95785,0.85361,0.82727,0.93344,0.93344,0.20882,0.86893,0.56085,0.000198125,0.000198125,0.000198125
87,3889.12,0.2084,0.38531,0.93892,0.84929,0.85442,0.93629,0.93629,0.20824,0.85998,0.56507,0.00018575,0.00018575,0.00018575
